trajectory_index,phase,sim_time_s,joint_rmse_rad,joint_max_abs_rad,ee_position_error_m
0,Approach,0.4200000000000003,0.016184901162041222,0.03219935144391717,0.01240706887525823
1,Approach,0.44000000000000034,0.029283986015320253,0.058259401989956716,0.022243934544335053
2,Approach,0.46000000000000035,0.0398963430918786,0.0793804115097424,0.030152822196103612
3,Approach,0.48000000000000037,0.048506284347555176,0.09651276071414394,0.03653424151761148
4,Approach,0.5000000000000003,0.05549082984190815,0.11040964471360704,0.04168977397137569
5,Approach,0.5200000000000004,0.061162313644809146,0.12169876788903367,0.04585390657026923
6,Approach,0.5400000000000004,0.0657694161731446,0.1308766608141686,0.049217043906992254
7,Approach,0.5600000000000004,0.0695118429734716,0.1383381846698768,0.05193336449713218
8,Approach,0.5800000000000004,0.07255178573658852,0.1444043443349503,0.054127217759689865
9,Approach,0.6000000000000004,0.07502102708758875,0.14933610822755078,0.05589867911636196
10,Approach,0.6200000000000004,0.07702663599375319,0.15334563639599957,0.05732836446788429
11,Approach,0.6400000000000005,0.0786556062351192,0.15660540875864454,0.05848120460462251
12,Approach,0.6600000000000005,0.0799786218868019,0.15925564640789458,0.059409508570670636
13,Approach,0.6800000000000005,0.0810531161025886,0.16141034495186796,0.06015542310828099
14,Approach,0.7000000000000005,0.08192575591014882,0.16316217946080513,0.060752909137854784
15,Approach,0.7200000000000005,0.08263445751021144,0.16458649205110154,0.0612293397555812
16,Approach,0.7400000000000005,0.08321000082252959,0.1657445337005496,0.06160683979221759
17,Approach,0.7600000000000006,0.08367737017044694,0.16668609923156535,0.06190324840934112
18,Approach,0.7800000000000006,0.0840568846955407,0.16745167093786084,0.062132922870460905
19,Approach,0.8000000000000006,0.08436509459293191,0.1680741598937777,0.06230735170851383
20,Approach,0.8200000000000006,0.08461545187207664,0.1685803215363717,0.06243575111416864
21,Approach,0.8400000000000006,0.08481888770237499,0.16899190724465998,0.06252554195223248
22,Approach,0.8600000000000007,0.08498428478071852,0.16932660024148927,0.06258269934884557
23,Approach,0.8800000000000007,0.08511886116762767,0.16959877645823046,0.06261203475685011
24,Approach,0.9000000000000007,0.08522848218739953,0.16982012309831235,0.06261742348918778
25,Approach,0.9200000000000007,0.08531791387636602,0.17000014151407067,0.06260198824346253
26,Approach,0.9400000000000007,0.08539102893487222,0.17014655603366186,0.06256824710810727
27,Approach,0.9600000000000007,0.08545097408461008,0.17026564632796226,0.06251823290084785
28,Approach,0.9800000000000008,0.08550190936078314,0.17036249984024285,0.06245536094782474
29,Approach,1.0000000000000007,0.0855474094492378,0.17044127415424162,0.06237532565215299
30,Approach,1.0200000000000007,0.08558426117240366,0.1705053799650112,0.0622842449962942
31,Approach,1.0400000000000007,0.08561505142591172,0.17055753310093721,0.06218209867238962
32,Approach,1.0600000000000007,0.08564098940659182,0.1705999650915716,0.06206949763430981
33,Approach,1.0800000000000007,0.08566306382949487,0.17063448995096958,0.06194701136732129
34,Approach,1.1000000000000008,0.085682078684898,0.17066258248918675,0.06181512083723658
35,Approach,1.1200000000000008,0.08569868716504216,0.17068544181308898,0.06167423226033625
36,Approach,1.1400000000000008,0.0857134198076304,0.17070404291378183,0.06152469322520401
37,Approach,1.1600000000000008,0.0857267072873339,0.17071917862339075,0.06136680518760938
38,Approach,1.1800000000000008,0.08573889913830354,0.170731493698334,0.0612008344554415
39,Approach,1.2000000000000008,0.0857502780791822,0.17074151255869463,0.06102701313883363
40,Approach,1.2200000000000009,0.08576107413112635,0.17074966176933837,0.06084556937736137
41,Approach,1.2400000000000009,0.08577147357669258,0.1707562883162853,0.060656705209176466
42,Approach,1.260000000000001,0.08578162588057212,0.17076167460148683,0.06046060446362
43,Approach,1.280000000000001,0.0857916528283786,0.17076605048966764,0.060257461035537974
44,Approach,1.300000000000001,0.08580165234129865,0.1707696030893131,0.060047453246359225
45,Approach,1.320000000000001,0.08581170211099891,0.1707724848370733,0.05983075026675092
46,Approach,1.340000000000001,0.08582186563132232,0.17077481996281174,0.05960753695186139
47,Approach,1.360000000000001,0.08583219232256468,0.17077670972848402,0.059377980488066424
48,Approach,1.380000000000001,0.0858427217323081,0.1707782367932934,0.059142258628149445
49,Approach,1.400000000000001,0.08585348476040235,0.17077946864608695,0.058900547624436785
50,Descend,1.420000000000001,0.07080353569634094,0.14044436276628058,0.04739631032573649
51,Descend,1.440000000000001,0.05857221153889526,0.11567241315185761,0.03811854700782355
52,Descend,1.460000000000001,0.04865137722481101,0.09544350051170458,0.030689939616335628
53,Descend,1.480000000000001,0.04061964018385958,0.07892448652559325,0.024752218162279512
54,Descend,1.500000000000001,0.03413341119783103,0.06543500585093809,0.020012924314537783
55,Descend,1.5200000000000011,0.028912655210171882,0.054419459936704495,0.016240111881495444
56,Descend,1.5400000000000011,0.024728543245238942,0.04542414069381673,0.013248217359944768
57,Descend,1.5600000000000012,0.021393525142770403,0.038078551627892754,0.010885463793103805
58,Descend,1.5800000000000012,0.018752898864312226,0.03208013427089096,0.009034462238895865
59,Descend,1.6000000000000012,0.016676237563502873,0.02736080775851546,0.007607427775295364
60,Descend,1.6200000000000012,0.015055153057908967,0.02503703903460508,0.006535766922397894
61,Descend,1.6400000000000012,0.01379922986271542,0.023138091762740842,0.005752843317251819
62,Descend,1.6600000000000013,0.012833712809429543,0.02158547061580407,0.005199455367893097
63,Descend,1.6800000000000013,0.012094627300177154,0.020317830078654175,0.004822839163981343
64,Descend,1.7000000000000013,0.011529589778920702,0.019282565280633435,0.004578481089181387
65,Descend,1.7200000000000013,0.011097301838392885,0.018436671732452226,0.004426816233026261
66,Descend,1.7400000000000013,0.010765643233797913,0.01774549944207715,0.004336543664449097
67,Descend,1.7600000000000013,0.010510002677516875,0.01718075445974021,0.00428522119687803
68,Descend,1.7800000000000014,0.010311760001719907,0.01671931663072046,0.004257616091310793
69,Descend,1.8000000000000014,0.01015694197889026,0.016342292730668895,0.004243803394907517
70,Descend,1.8200000000000014,0.010035106550272477,0.01603424384640162,0.004237527743539793
71,Descend,1.8400000000000014,0.009938456550912677,0.01578255396830519,0.0042349642597429285
72,Descend,1.8600000000000014,0.009861158129631658,0.015576914116664842,0.004233849684908177
73,Descend,1.8800000000000014,0.009798827987677478,0.015408900086554933,0.0042329007549844495
74,Descend,1.9000000000000015,0.009748154589721605,0.015271629465701153,0.004231436000625626
75,Descend,1.9200000000000015,0.009706617973177777,0.015159476645294934,0.004229135222380254
76,Descend,1.9400000000000015,0.009672288377094307,0.015067847132325785,0.004225888362602755
77,Descend,1.9600000000000015,0.009643675391474312,0.014992984913429375,0.004221702622395871
78,Descend,1.9800000000000015,0.009619620887579918,0.014931822211994294,0.004216645950286504
79,Descend,2.0000000000000013,0.009599218118993214,0.014881851931097145,0.004210813064451504
80,Descend,2.019999999999999,0.009581753026059387,0.01484102595399639,0.004204306828130421
81,Descend,2.039999999999997,0.009566659850691642,0.01480767057970267,0.004197226880943219
82,Descend,2.0599999999999947,0.009553488207102702,0.01478041842692468,0.0041896648831899865
83,Descend,2.0799999999999925,0.009541878111691514,0.01475815251361201,0.00418170215545722
84,Descend,2.0999999999999903,0.009531540479004844,0.01473995998776445,0.004173409006796501
85,Descend,2.119999999999988,0.009522242591149765,0.014725095127982701,0.004164845435288784
86,Descend,2.139999999999986,0.00951379655722837,0.014712948680643212,0.004156062032800626
