trial_id,start_x_m,start_y_m,perception_success,localization_success,planning_success,execution_success,controller_success,e2e_success,localization_xy_error_m,trajectory_points,moved_distance_m,place_error_m,final_z_m,failure_reason,wall_time_s
43,0.37354437616123287,0.22749449361449672,True,True,True,True,True,True,0.0034761990763314873,250,0.3730689053776002,0.011976768979728896,0.8498922445797833,,0.39739574992563576
44,0.32190454200285545,0.07145826289301542,True,True,True,True,True,True,0.0022293413442948905,250,0.21456044535822194,0.007987734809031938,0.8498922445797833,,0.349017541971989
45,0.26217811183844975,0.09303689999010663,True,True,True,True,True,True,0.0023763780235106957,250,0.24176710689949882,0.004541335978350779,0.8498922445797832,,0.36308783292770386
46,0.19462290280905523,0.17450953068922198,True,True,True,True,True,True,0.001109785689716243,250,0.34578090747713763,0.005205871963499024,0.8498922445797832,,0.368317540967837
47,0.3727695239238898,0.16165858917533857,True,True,True,True,True,True,0.002674900068132109,250,0.31087910815444286,0.009502096875291853,0.8498922445797832,,0.4564407500438392
48,0.27338691670046417,0.03773909785841347,True,True,True,True,True,True,0.001985821294014951,250,0.18430027320072145,0.005600668249997046,0.8498922445797832,,0.41410408297087997
49,0.1262962779980372,0.16903256829145044,True,True,False,False,False,False,0.0028457312477189337,0,0.0,0.36325578132766745,0.849892244735379,IK feasibility check failed,0.17994058295153081
50,0.29098783914979326,0.20115698506242732,True,True,True,True,True,True,0.001781610037297915,250,0.34321068748997446,0.00806408284455468,0.8498922445797832,,0.44974591699428856
51,0.40701741349264836,0.26188120485374505,True,True,True,True,True,True,0.0026336431819642303,250,0.4101792223856889,0.016441408492950543,0.8498922445797832,,0.43533679202664644
52,0.19694320384768252,0.1071777592112636,True,True,True,True,True,True,0.0010898783581625314,250,0.28484031515738717,0.008301744479572269,0.8498922445797832,,0.4462549169547856
53,0.1261602855529817,0.14527585800914597,True,True,False,False,False,False,0.0021250540682345507,0,0.0,0.3426486227056198,0.849892244735379,IK feasibility check failed,0.19260791700799018
54,0.4217267927726583,0.304424289554391,True,True,True,True,True,True,0.0050872941598264975,250,0.45137898369371526,0.02031495745441946,0.8498922445797832,,0.41508349997457117
55,0.4505230719891518,0.29684650775611426,True,True,True,True,True,True,0.0044557864838100855,250,0.44795658955588324,0.02552176005818726,0.8498922445797832,,0.3755648339865729
56,0.21674824388890468,0.09213909286852531,True,True,True,True,True,True,0.001456409096635138,250,0.2599927407217391,0.004826037952346618,0.8498922445797833,,0.3509479999775067
57,0.3380703153556277,0.24018008554775028,True,True,True,True,True,True,0.0022870276965207344,250,0.3820395982310193,0.01011050515151191,0.8498922445797832,,0.3429979169741273
58,0.3897605944973555,0.26359845677274446,True,True,True,True,True,True,0.00273972036681056,250,0.40890742953243026,0.015101688328382528,0.8498922445797832,,0.3307355830911547
59,0.4017398333806627,0.299567554937991,True,True,True,True,True,True,0.004715054724415879,250,0.444531690169284,0.01732657535853598,0.8498922445797832,,0.3298085000133142
60,0.4003638674229984,0.26447382239909445,True,True,True,True,True,True,0.003314658044497154,250,0.411685100043456,0.01570597155586263,0.8498922445797832,,0.3107472920091823
