trial_id,planner,success,termination_reason,iteration_count,planning_calls,planner_requests,plan_rejections,relocation_count,execution_failure_count,sim_time_s,wall_time_s,failure_codes,error_message,final_error_cube_red_m,final_error_cube_blue_m,start_cube_red_x_m,start_cube_red_y_m,start_cube_blue_x_m,start_cube_blue_y_m
1,constraint,True,goal_satisfied,3,3,3,0,1,0,20.63999999999922,0.7052797079086304,{},,0.008490208329185381,0.008596268449267612,0.2835971980840726,0.14521470130337227,0.2919630523762637,-0.17415817625890676
2,constraint,True,goal_satisfied,3,3,3,0,1,0,20.63999999999922,0.3997172499075532,{},,0.008490208329185381,0.008596268449267612,0.30081203047054267,0.13822140614656186,0.2971197557736383,-0.18223968360434564
3,constraint,True,goal_satisfied,3,3,3,0,1,0,20.63999999999922,0.3979142499156296,{},,0.008490208329185381,0.006139819784971521,0.28416113476566746,0.16045787547687387,0.2962917029146669,-0.17391608967768635
4,constraint,True,goal_satisfied,3,3,3,0,1,0,20.63999999999922,0.3824005830101669,{},,0.008490208329185381,0.008596268449267612,0.2870215059849766,0.16484385588146144,0.29526890664924926,-0.18162018668515278
5,constraint,True,goal_satisfied,3,3,3,0,1,0,20.63999999999922,0.3791513331234455,{},,0.008490208329185381,0.008596268449267612,0.3042683780401187,0.1624411833917372,0.29425321449740477,-0.18513683907828626
